DESCRIPCION;CODIGO_BARRAS
ALUBIAS COCIDAS LUENGO 57GR;8,41051E+12
ALUBIAS CON CHORIZO CARRETILLA 300GR;8,41042E+12
ALUBIAS CON CHORIZO ORLANDO 425GR;8,41007E+12
ALUBIAS EXTRA CABALLERO 0,5KG;8,41104E+12
ALUBIAS PINTAS LA MANCHA 0.5KG;8,4274E+12
ALUBIAS PINTAS LA MANCHA 1KG;8,4274E+12
ALUMINIO ALBAL 30M;06268
ALUMINIO ALBAL 36M;8,41021E+12
ALUMINIO DOMESTICO PLAST'HOME 30M;8,4303E+12
ALUMINIO LAS DOS ROSAS 30M;8,42435E+12
AMBIENTADOR ALTA GAMA HPC;8,43702E+12
AMBIENTADOR ARMARIOS AIRE LIMPIO TDOY;8,41328E+12
AMBIENTADOR ARMARIOS LIMA MENTA TDOY;8,41328E+12
AMBIENTADOR BAÑO FRESCO CAMPERO;8,41084E+12
AMBIENTADOR BAÑO FRESCO LAS DOS ROSAS 750ML;8,42824E+12
AMBIENTADOR BAÑOS NATURAL CAMPERO;8,41084E+12
AMBIENTADOR BRISA ASEVI 400ML;8,41158E+12
AMBIENTADOR CAMPERO CLASSIC 750ML;8,41084E+12
AMBIENTADOR CAMPERO ROYAL;8,41084E+12
AMBIENTADOR COCHE AROMA LIMPIO DOS ROSAS;8,42824E+12
AMBIENTADOR COCHE BRISA MARINA DOS ROSAS;8,42824E+12
AMBIENTADOR COCHE BRISA MEDITERRANEA DOS ROSAS;8,42824E+12
AMBIENTADOR COCHE CANELA & NARANJA DOS ROSAS;8,42835E+12
AMBIENTADOR COCHE FRESA ACIDA DOS ROSAS;8,42824E+12
AMBIENTADOR COCHE FRUTAS DEL BOSQUE DOS ROSAS;8,42824E+12
AMBIENTADOR COCHE FRUTAS TROPICALES DOS ROSAS;8,42824E+12
AMBIENTADOR COCHE LIMON & CARAMELO DOS ROSAS;8,42824E+12
AMBIENTADOR CONCENTRADO WC FORESAN;8,41472E+12
AMBIENTADOR COOPERMATIC FRESH AIRE;8,41113E+12
AMBIENTADOR DECO SPHERE FRAMBUESA AIR WICK;8,4101E+12
AMBIENTADOR DECO SPHERE MANGO & LIMA AIR WICK;3,05995E+12
AMBIENTADOR DECO SPHERE NENUCO AIR WICK;8,4101E+12
AMBIENTADOR DEO LIQUID  ARRIXACA;8,41076E+12
